,City,Cloudiness,Date,Humidity,Lat,Lng,Max Temp,Wind Speed,Country
120,cabo san lucas,40,1589343131,94,-8.28,-35.03,76.62,4.36,BR
121,salcedo,100,1589343132,61,12.81,121.47,89.91,10.56,PH
122,san pedro,100,1589343132,38,13.3,-4.9,88.09,3.98,ML
123,turbat,58,1589343133,60,26.0,63.04,84.97,3.71,PK
124,ibra,0,1589343133,53,22.69,58.53,84.67,1.9,OM
125,victoria,44,1589343046,84,22.29,114.16,82.99,15.01,HK
126,port blair,64,1589343095,68,-7.03,29.76,71.31,6.26,CD
127,bayji,0,1589343135,23,34.93,43.49,77.38,5.57,IQ
128,mwinilunga,68,1589343135,76,-11.74,24.43,58.1,3.58,ZM
129,lago da pedra,100,1589343136,98,8.27,-12.15,75.56,2.17,SL
130,dikson,39,1589343137,93,73.51,80.55,28.09,9.1,RU
131,faanui,98,1589343137,77,-16.48,-151.75,81.36,13.11,PF
132,krasnoselkup,100,1589343138,95,65.7,82.47,36.48,16.55,RU
133,bengkulu,30,1589343138,59,-3.8,102.27,88.21,5.03,ID
134,salalah,0,1589343138,79,17.02,54.09,91.51,6.29,OM
135,tasiilaq,0,1589343139,95,65.61,-37.64,32.0,8.05,GL
136,high level,20,1589343139,93,33.61,-95.75,63.0,5.97,US
137,kushima,100,1589343140,47,31.46,131.23,71.01,15.01,JP
138,norman wells,90,1589343140,100,35.22,-97.44,53.01,11.05,US
139,vila velha,18,1589343140,93,42.03,-8.16,57.0,5.82,PT
140,caravelas,7,1589343140,84,-17.71,-39.25,72.28,4.54,BR
141,borba,59,1589343141,96,-4.39,-59.59,74.97,1.12,BR
142,bathsheba,40,1589343141,74,13.22,-59.52,78.91,17.9,BB
143,pedernales,38,1589343141,71,18.04,-71.74,78.55,1.88,DO
144,taoudenni,0,1589343142,14,22.68,-3.98,85.71,16.22,ML
145,lagos,20,1589342858,88,6.58,3.75,80.62,4.05,NG
146,luderitz,74,1589343142,59,-26.65,15.16,63.09,14.25,NA
147,kousseri,0,1589343143,46,12.08,15.03,89.6,10.29,CM
148,mishan,75,1589343143,40,45.55,131.88,57.04,18.03,CN
149,senanga,0,1589343143,47,-16.12,23.27,55.18,3.13,ZM
150,airai,99,1589343144,76,-8.93,125.41,71.37,4.68,TL
151,puerto escondido,6,1589343144,67,36.59,-6.23,62.6,8.05,ES
152,alyangula,75,1589343144,66,-13.85,136.42,81.39,11.77,AU
153,comodoro rivadavia,24,1589343145,97,-13.66,-59.79,68.43,3.71,BR
154,pundaguitan,32,1589343145,73,6.37,126.17,84.58,3.02,PH
155,narrabri,93,1589342960,49,-30.32,149.78,66.0,6.38,AU
156,kihei,40,1589343145,61,20.79,-156.47,73.99,8.01,US
157,calvinia,15,1589343145,93,-31.47,19.78,46.45,3.87,ZA
158,puerto ayora,6,1589343146,67,36.59,-6.23,62.6,8.05,ES
159,pevek,64,1589343130,92,69.7,170.31,33.57,6.11,RU
160,saskylakh,99,1589343146,98,71.92,114.08,30.85,10.92,RU
161,lebu,62,1589343147,82,-37.62,-73.65,51.26,8.16,CL
162,antakya,3,1589343147,76,36.21,36.16,57.2,4.7,TR
163,nam tha,99,1589343147,42,29.42,90.91,52.25,3.69,CN
164,fernie,90,1589343148,61,49.5,-115.07,48.2,9.17,CA
